epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,245.521,1.01498,0.94382,0.93416,1,0.36051,0.71955,0.44119,1.17882,2.46406,1.0693,0.000841222,0.000841222,0.000841222
31,252.991,1.07202,0.9702,0.965,1,0.36051,0.71955,0.44119,1.17882,2.46406,1.0693,0.00085766,0.00085766,0.00085766
32,262.144,1.01033,0.95724,0.99788,1,0.37189,0.74837,0.46742,1.13979,2.37652,1.04406,0.000873306,0.000873306,0.000873306
33,271.952,0.98675,0.92949,0.92528,1,0.36526,0.74588,0.45808,1.13418,2.36673,1.06893,0.00088816,0.00088816,0.00088816
34,279.423,0.96811,0.89682,0.92181,1,0.36526,0.74588,0.45808,1.13418,2.36673,1.06893,0.000902222,0.000902222,0.000902222
35,286.89,1.06313,0.89462,0.91653,1,0.30853,0.7509,0.45882,1.20066,2.40201,1.07455,0.000915492,0.000915492,0.000915492
36,295.59,1.02084,0.93913,0.89591,1,0.40081,0.76166,0.4614,1.2285,2.32318,1.08483,0.00092797,0.00092797,0.00092797
37,304.666,0.94547,0.96989,0.92292,1,0.40081,0.76166,0.4614,1.2285,2.32318,1.08483,0.000939656,0.000939656,0.000939656
38,312.606,0.95557,0.90229,0.92441,1,0.45134,0.72821,0.46449,1.22927,2.15349,1.11541,0.00095055,0.00095055,0.00095055
39,323.576,0.94733,0.85658,0.9077,0.94759,0.58331,0.71898,0.46299,1.25499,1.92564,1.19108,0.000960652,0.000960652,0.000960652
40,333.89,0.87171,0.78866,0.90398,0.94759,0.58331,0.71898,0.46299,1.25499,1.92564,1.19108,0.000969962,0.000969962,0.000969962
41,344.448,0.99287,0.97502,0.92876,0.95503,0.68532,0.7668,0.46185,1.34023,1.68838,1.21884,0.00097848,0.00097848,0.00097848
42,354.866,0.89451,0.77089,0.89417,0.9131,0.67795,0.75657,0.47192,1.28142,1.56969,1.18078,0.000986206,0.000986206,0.000986206
43,363.33,0.92017,0.84515,0.92865,0.9131,0.67795,0.75657,0.47192,1.28142,1.56969,1.18078,0.00099314,0.00099314,0.00099314
44,371.086,0.98444,0.80816,0.90756,0.91587,0.70256,0.76502,0.49239,1.18875,1.53092,1.15068,0.000999282,0.000999282,0.000999282
45,379.709,0.97973,0.79315,0.93192,0.91587,0.70256,0.76502,0.49239,1.18875,1.53092,1.15068,0.00100463,0.00100463,0.00100463
46,388.286,0.8674,0.78224,0.87445,0.91579,0.7019,0.78852,0.47632,1.29077,1.53806,1.16875,0.00100919,0.00100919,0.00100919
47,396.392,0.95294,0.85967,0.92899,0.91579,0.7019,0.78852,0.47632,1.29077,1.53806,1.16875,0.00101296,0.00101296,0.00101296
48,404.468,0.87213,0.78815,0.88482,0.95642,0.70802,0.81994,0.48328,1.26846,1.54589,1.15966,0.00101593,0.00101593,0.00101593
49,412.559,0.82282,0.81577,0.92061,0.95642,0.70802,0.81994,0.48328,1.26846,1.54589,1.15966,0.00101811,0.00101811,0.00101811
50,420.936,0.92836,0.82356,0.90538,0.95938,0.76223,0.82039,0.51896,1.18119,1.51569,1.12434,0.0010195,0.0010195,0.0010195
51,428.854,0.84405,0.78683,0.88405,0.95938,0.76223,0.82039,0.51896,1.18119,1.51569,1.12434,0.00101,0.00101,0.00101
52,437.837,0.93974,0.82744,0.91413,0.95948,0.7642,0.82675,0.52434,1.19677,1.44662,1.15265,0.0009902,0.0009902,0.0009902
53,447.316,0.90556,0.78981,0.92144,0.95948,0.7642,0.82675,0.52434,1.19677,1.44662,1.15265,0.0009704,0.0009704,0.0009704
54,456.737,0.86893,0.81578,0.89781,0.95962,0.76686,0.8283,0.52599,1.22219,1.37619,1.14647,0.0009506,0.0009506,0.0009506
55,466.421,0.86245,0.73848,0.90995,0.95962,0.76686,0.8283,0.52599,1.22219,1.37619,1.14647,0.0009308,0.0009308,0.0009308
56,476.128,0.95929,0.84562,0.94241,0.95885,0.75199,0.85282,0.54105,1.25855,1.33738,1.14288,0.000911,0.000911,0.000911
57,485.496,0.86088,0.75678,0.91264,0.95885,0.75199,0.85282,0.54105,1.25855,1.33738,1.14288,0.0008912,0.0008912,0.0008912
58,495.683,0.80213,0.7081,0.86861,0.98294,0.77419,0.85237,0.54221,1.27999,1.24448,1.16639,0.0008714,0.0008714,0.0008714
59,504.644,0.88945,0.72864,0.88221,0.98294,0.77419,0.85237,0.54221,1.27999,1.24448,1.16639,0.0008516,0.0008516,0.0008516
60,512.992,0.8474,0.78955,0.89782,0.95965,0.76748,0.84226,0.52294,1.28367,1.16076,1.22712,0.0008318,0.0008318,0.0008318
61,522.237,0.8803,0.72903,0.87292,0.95965,0.76748,0.84226,0.52294,1.28367,1.16076,1.22712,0.000812,0.000812,0.000812
62,531.742,0.8278,0.7385,0.88617,0.95997,0.77363,0.84969,0.51506,1.28786,1.10098,1.23004,0.0007922,0.0007922,0.0007922
63,541.438,0.83987,0.71554,0.8908,0.95997,0.77363,0.84969,0.51506,1.28786,1.10098,1.23004,0.0007724,0.0007724,0.0007724
64,550.877,0.78628,0.68351,0.86864,0.96103,0.79578,0.84733,0.53292,1.27933,1.07621,1.20985,0.0007526,0.0007526,0.0007526
65,560.407,0.8848,0.75589,0.89116,0.96103,0.79578,0.84733,0.53292,1.27933,1.07621,1.20985,0.0007328,0.0007328,0.0007328
66,570.043,0.8791,0.71028,0.87037,0.88906,0.77555,0.84554,0.5367,1.2557,1.04691,1.18608,0.000713,0.000713,0.000713
67,579.251,0.76896,0.67988,0.87837,0.88906,0.77555,0.84554,0.5367,1.2557,1.04691,1.18608,0.0006932,0.0006932,0.0006932
68,588.682,0.84867,0.7883,0.90875,0.90077,0.77419,0.84395,0.52869,1.23587,1.03062,1.16368,0.0006734,0.0006734,0.0006734
69,599.57,0.7936,0.72016,0.87471,0.90077,0.77419,0.84395,0.52869,1.23587,1.03062,1.16368,0.0006536,0.0006536,0.0006536
70,610.888,0.75292,0.7063,0.87542,0.91328,0.80645,0.84073,0.52743,1.25585,1.00898,1.1738,0.0006338,0.0006338,0.0006338
71,619.677,0.76394,0.74895,0.88652,0.91328,0.80645,0.84073,0.52743,1.25585,1.00898,1.1738,0.000614,0.000614,0.000614
72,629.666,0.83331,0.7183,0.87861,0.87398,0.80645,0.83649,0.52074,1.25012,0.98523,1.17677,0.0005942,0.0005942,0.0005942
73,639.899,0.86398,0.72409,0.88089,0.87398,0.80645,0.83649,0.52074,1.25012,0.98523,1.17677,0.0005744,0.0005744,0.0005744
74,648.946,0.72185,0.65987,0.84901,0.85918,0.80645,0.83451,0.52947,1.22708,0.97735,1.17523,0.0005546,0.0005546,0.0005546
75,658.277,0.7701,0.65974,0.85259,0.85918,0.80645,0.83451,0.52947,1.22708,0.97735,1.17523,0.0005348,0.0005348,0.0005348
76,668.137,0.72257,0.67056,0.86461,0.86019,0.80645,0.835,0.53216,1.20142,0.95545,1.182,0.000515,0.000515,0.000515
77,678.186,0.80062,0.69335,0.88862,0.86019,0.80645,0.835,0.53216,1.20142,0.95545,1.182,0.0004952,0.0004952,0.0004952
78,688.442,0.7837,0.67054,0.86416,0.92212,0.76415,0.83908,0.53203,1.21781,0.91754,1.18619,0.0004754,0.0004754,0.0004754
79,698.386,0.77115,0.70928,0.86587,0.92212,0.76415,0.83908,0.53203,1.21781,0.91754,1.18619,0.0004556,0.0004556,0.0004556
